Name,Short name,URL name,Tags
Australian Defence Force Academy Consultative Council,,australian_defence_force_academy_consultative_council,foi_yes federal oaic_report_2011_2012 defence
Australian Defence Human Research Ethics Committee,,australian_defence_human_research_ethics_committee,foi_yes federal directory_gov_au oaic_report_2011_2012 defence
Australian Electoral Commission,AEC,aec,finance oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Energy Regulator,AER,aer,foi_yes federal oaic_report_2011_2012 treasury
Australian Federal Police,AFP,afp,directory_gov_au attorney_general oaic_report_2011_2012 federal foi_yes
Australian Film, Television and Radio School,AFTRS,aftrs,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general
Australian Fisheries Management Authority,AFMA,afma,foi_yes federal directory_gov_au oaic_report_2011_2012 agriculture
Australian Government Solicitor,AGS,ags,federal attorney_general foi_probably_not
Australian Hearing,AH,ah,human_services oaic_report_2011_2012 directory_gov_au foi_yes federal social_services
Australian Heritage Council,austnh,austnh,foi_yes federal directory_gov_au oaic_report_2011_2012 environment
Australian Human Rights Commission,,australian_human_rights_commission,foi_yes federal directory_gov_au oaic_report_2011_2012 attorney_general
Australian Institute of Aboriginal and Torres Strait Islander Studies,AIATSIS,aiatsis,prime_minister oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Institute of Criminology,AIC,aic,attorney_general federal foi_yes directory_gov_au oaic_report_2011_2012
Australian Institute of Family Studies,AIFS,aifs,prime_minister oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Institute of Health and Welfare,AIHW,aihw,oaic_report_2011_2012 foi_yes federal health directory_gov_au
Australian Institute of Marine Science,AIMS,aims,industry_and_science foi_yes federal directory_gov_au oaic_report_2011_2012
Australian Law Reform Commission,ALRC,alrc,attorney_general federal foi_yes directory_gov_au oaic_report_2011_2012
Australian Maritime Safety Authority,AMSA,amsa,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Military Forces Relief Trust Fund,,australian_military_forces_relief_trust_fund,directory_gov_au defence oaic_report_2011_2012 foi_yes federal
Australian National Maritime Museum,ANMM,anmm,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian National Preventive Health Agency,ANPHA,anpha,defunct federal foi_yes directory_gov_au oaic_report_2011_2012 health
Australian National University,ANU,anu,oaic_report_2011_2012 foi_yes federal directory_gov_au education_and_training university
Australian Nuclear Science and Technology Organisation,ANSTO,ansto,federal foi_yes directory_gov_au oaic_report_2011_2012 industry_and_science
Australian Organ and Tissue Donation and Transplantation Authority,AOTDTA,aotdta,oaic_report_2011_2012 health directory_gov_au foi_yes federal
Australian Pesticides and Veterinary Medicines Authority,APVMA,apvma,agriculture oaic_report_2011_2012 foi_yes federal
Australian Political Exchange Council,,australian_political_exchange_council,oaic_report_2011_2012 finance directory_gov_au foi_yes federal
Australian Postal Corporation,Australia Post,australia_post,communications oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Prudential Regulation Authority,APRA,apra,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Public Service Commission,APSC,apsc,prime_minister oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Radiation Protection and Nuclear Safety Agency,ARPANSA,arpansa,health oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Rail Track Corporation Limited,ARTC,artc,infrastructure_and_regional_development foi_probably_not federal
Australian Reinsurance Pool Corporation,ARPC,arpc,treasury oaic_report_2011_2012 foi_yes federal
Australian Renewable Energy Agency,ARENA,arena,foi_yes federal industry_and_science
Australian Research Council,ARC,arc,directory_gov_au foi_yes federal oaic_report_2011_2012 industry_and_science
Australian Securities and Investments Commission,ASIC,asic,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Skills Quality Authority,ASQA,asqa,foi_yes federal oaic_report_2011_2012 industry_and_science
Australian Sports Anti-Doping Authority,ASADA,asada,oaic_report_2011_2012 health directory_gov_au foi_yes federal github_316
Australian Sports Commission,ASC,asc,directory_gov_au health oaic_report_2011_2012 foi_yes federal
Australian Statistics Advisory Council,ASAC,asac,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Taxation Office,ATO,ato,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Trade Commission,Austrade,austrade,foreign_affairs_and_trade oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian Transaction Reports and Analysis Centre,AUSTRAC,austrac,federal foi_yes directory_gov_au oaic_report_2011_2012 attorney_general
Australian Transport Safety Bureau,ATSB,atsb,infrastructure_and_regional_deveopment oaic_report_2011_2012 directory_gov_au foi_yes federal
Australian War Memorial,AWM,awm,defence veterans_affairs oaic_report_2011_2012 foi_yes federal
Bureau of Meteorology,BOM,bom,environment foi_yes federal directory_gov_au oaic_report_2011_2012
Cabinet Secretary,,cabinet_secretary,directory_gov_au prime_minister oaic_report_2011_2012 foi_yes federal
Cancer Australia,CA,ca,health oaic_report_2011_2012 directory_gov_au foi_yes federal
Civil Aviation Safety Authority,CASA,casa,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
Classification Board,,classification_board,communications oaic_report_2011_2012 directory_gov_au foi_yes federal
Classification Review Board,CRB,crb,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Clean Energy Regulator,CER,cer,environment climate_change_and_energy_efficiency oaic_report_2011_2012 directory_gov_au foi_yes federal
Climate Change Authority,,climate_change_authority,defunct climate_change_and_energy_efficiency foi_yes federal
Coal Mining Industry (Long Service Leave Funding) Corporation,COALLSL,coallsl,employment oaic_report_2011_2012 directory_gov_au foi_yes federal
Comcare,,comcare,employment oaic_report_2011_2012 foi_yes federal
Committees established under Tradesmen’s Rights Regulation Act 1946,,committees_established_under_tradesmens_rights_regulation_act_1946,foi_yes federal oaic_report_2011_2012 industry_and_science employment
Commonwealth Environmental Water Holder,,commonwealth_environmental_water_holder,environment oaic_report_2011_2012 foi_yes federal
Commonwealth Grants Commission,CGC,cgc,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Commonwealth Ombudsman,CO,co,directory_gov_au prime_minister oaic_report_2011_2012 foi_yes federal
Commonwealth Scientific and Industrial Research Organisation,CSIRO,csiro,directory_gov_au foi_yes federal oaic_report_2011_2012 industry_and_science
Commonwealth Superannuation Corporation,CSC,csc,oaic_report_2011_2012 federal foi_yes finance
Companies Auditors and Liquidators Disciplinary Board,CALDB,caldb,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Complaints Resolution Panel (Therapeutic good advertising),,complaints_resolution_panel_therapeutic_good_advertising,health oaic_report_2011_2012 foi_yes federal
ComSuper,,comsuper,oaic_report_2011_2012 finance directory_gov_au foi_yes federal
Copyright Tribunal of Australia,ACopyT,acopyt,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Corporations and Markets Advisory Committee,CAMAC,camac,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Cotton Research and Development Corporation,CRDC,crdc,oaic_report_2011_2012 agriculture directory_gov_au foi_yes federal
Criminology Research Council,CRC,crc,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
CrimTrac,,crimtrac,attorney_general oaic_report_2011_2012 foi_yes federal
CRS Australia,CRS,crs,social_services human_services foi_yes federal
Defence Families of Australia,,defence_families_of_australia,defence oaic_report_2011_2012 directory_gov_au foi_yes federal
Defence Force Discipline Appeal Tribunal,DFDAT,dfdat,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Defence Force Remuneration Tribunal,DFRT,dfrt,directory_gov_au prime_minister oaic_report_2011_2012 foi_yes federal
Defence Housing Australia,DHA,dha,defence oaic_report_2011_2012 directory_gov_au foi_yes federal
Defence Reserves Support Council,,defence_reserves_support_council,defence oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of Agriculture and Water Resources,,department_of_agriculture_and_water_resources,oaic_report_2011_2012 directory_gov_au foi_yes federal agriculture defunct
Department of Communications and the Arts,,department_of_communications_and_the_arts,directory_gov_au communications oaic_report_2011_2012 foi_yes federal defunct
Department of Climate Change and Energy Efficiency,DCCEE,dccee,directory_gov_au foi_yes federal oaic_report_2011_2012 climate_change_and_energy_efficiency defunct
Department of Defence,Defence,defence,defence oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of Education,,department_of_education,education_and_training oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of Social Services,,department_of_social_services,oaic_report_2011_2012 social_services directory_gov_au foi_yes federal
Department of Finance,Finance,finance,finance oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of Foreign Affairs and Trade,DFAT,dfat,foreign_affairs_and_trade oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of Health,Health,health,directory_gov_au health oaic_report_2011_2012 foi_yes federal
Services Australia,,services_australia,oaic_report_2011_2012 foi_yes federal directory_gov_au human_services social_services
Department of Home Affairs,,department_of_home_affairs,immigration_&_citizenship oaic_report_2011_2012 directory_gov_au federal foi_yes immigration_and_border_protection
Department of Industry, Science, Energy & Resources,,department_of_industry_science_energy_resources,industry_and_science education foi_yes federal directory_gov_au oaic_report_2011_2012
Department of Infrastructure, Transport, Regional Development and Communications,,department_of_infrastructure_transport_regional_development_and_communications,infrastructure_transport_regional_development_and_communications foi_yes federal directory_gov_au oaic_report_2011_2012
Department of Parliamentary Services,,department_of_parliamentary_services,federal foi_no directory_gov_au oaic_report_2011_2012 parliament_of_australia commonwealth_parliament
Department of Regional Australia, Local Government, Arts and Sport,,department_of_regional_australia_local_government_arts_and_sport,infrastructure_and_regional_development defunct oaic_report_2011_2012 foi_yes federal
Department of Resources, Energy and Tourism,RET,ret,defunct environment federal
Department of the Environment and Energy,,department_of_the_environment_and_energy,federal foi_yes directory_gov_au environment oaic_report_2011_2012 defunct
Department of the House of Representatives,,department_of_the_house_of_representatives,commonwealth_parliament parliament_of_australia oaic_report_2011_2012 directory_gov_au foi_yes federal
Department of the Prime Minister and Cabinet,DPMC,dpmc,oaic_report_2011_2012 prime_minister directory_gov_au foi_yes federal
Department of the Senate,,department_of_the_senate,federal commonwealth_parliament parliament_of_australia oaic_report_2011_2012 directory_gov_au foi_yes
Department of the Treasury,Treasury,treasury,treasury oaic_report_2011_2012 foi_yes federal
Department of Veterans' Affairs,DVA,dva,federal foi_yes directory_gov_au oaic_report_2011_2012 veterans_affairs defence
Designs Office,,designs_office,industry_and_science oaic_report_2011_2012 foi_yes federal
Director of National Parks,,director_of_national_parks,foi_yes federal directory_gov_au oaic_report_2011_2012 environment
Equal Opportunity for Women in the Workplace Agency,EOWA,eowa,social_services oaic_report_2011_2012 directory_gov_au foi_yes federal
Export Finance and Insurance Corporation,EFIC,efic,foreign_affairs_and_trade oaic_report_2011_2012 directory_gov_au foi_yes federal
Fair Work Commission,FWC,fwc,foi_yes federal directory_gov_au oaic_report_2011_2012
Australian Building and Construction Commission,ABCC,abcc,federal foi_yes oaic_report_2011_2012 employment
Fair Work Ombudsman,FWO,fwo,employment oaic_report_2011_2012 directory_gov_au foi_yes federal
Family Court of Australia,,family_court_of_australia,courts attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Family Law Council,FLC,flc,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Federal Court of Australia,,federal_court_of_australia,courts attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Federal Circuit Court of Australia,,federal_circuit_court_of_australia,attorney_general oaic_report_2011_2012 directory_gov_au federal foi_yes
Film Certification Advisory Board,FCAB,fcab,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Financial Reporting Council,FRC,frc,treasury oaic_report_2011_2012 directory_gov_au foi_yes federal
Financial Reporting Panel,,financial_reporting_panel,federal defunct treasury oaic_report_2011_2012 foi_yes
Fisheries Research and Development Corporation,FRDC,frdc,agriculture oaic_report_2011_2012 directory_gov_au foi_yes federal
Food Standards Australia New Zealand,FSANZ,fsanz,health oaic_report_2011_2012 directory_gov_au foi_yes federal
Army and Air Force Canteen Service,AAFCANS,aafcans,directory_gov_au foi_yes federal oaic_report_2011_2012 defence github_316
Future Fund,,future_fund,federal finance oaic_report_2011_2012 directory_gov_au foi_yes
Gene Technology Ethics and Community Consultative Committee,GTECCC,gteccc,directory_gov_au foi_yes federal oaic_report_2011_2012 health
Legislative and Governance Forum on Gene Technology,GT Forum,gt_forum,foi_yes federal directory_gov_au oaic_report_2011_2012 health
Gene Technology Regulator,,gene_technology_regulator,health oaic_report_2011_2012 foi_yes federal
Gene Technology Technical Advisory Committee,GTTAC,gttac,oaic_report_2011_2012 health directory_gov_au foi_yes federal
Geoscience Australia,,geoscience_australia,directory_gov_au industry_and_science oaic_report_2011_2012 federal foi_yes
Grains Research and Development Corporation,GRDC,grdc,agriculture oaic_report_2011_2012 directory_gov_au foi_yes federal
Wine Australia (Research and Development),Wine Australia R&D,wine_australia_rd,oaic_report_2011_2012 defunct federal foi_yes directory_gov_au agriculture
Great Barrier Reef Marine Park Authority,GBRMPA,gbrmpa,environment oaic_report_2011_2012 directory_gov_au foi_yes federal
Health and Hospitals Fund Advisory Board,,health_and_hospitals_fund_advisory_board,health oaic_report_2011_2012 foi_yes federal
Health Workforce Australia,HWA,hwa,health oaic_report_2011_2012 foi_yes federal
High Court of Australia,,high_court_of_australia,directory_gov_au attorney_general oaic_report_2011_2012 foi_yes federal
Independent Hospital Pricing Authority,IHPA,ihpa,foi_yes federal directory_gov_au oaic_report_2011_2012 health
Independent Review PBS Cost Recovery Committee,,independent_review_pbs_cost_recovery_committee,oaic_report_2011_2012 foi_yes federal
Indigenous Business Australia,IBA,iba,prime_minister social_services oaic_report_2011_2012 directory_gov_au foi_yes federal
Indigenous Land Corporation,ILC,ilc,prime_minister social_services oaic_report_2011_2012 directory_gov_au foi_yes federal
Infrastructure Australia,,infrastructure_australia,infrastructure oaic_report_2011_2012 directory_gov_au foi_yes federal
Insolvency and Trustee Service Australia,ITSA,itsa,oaic_report_2011_2012 attorney_general directory_gov_au foi_yes federal
Inspector-General of Taxation,IGT,igt,federal foi_yes directory_gov_au oaic_report_2011_2012 treasury
International Air Services Commission,IASC,iasc,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
Marine Council,,marine_council,defunct foi_yes federal oaic_report_2011_2012 infrastructure_and_transport
Medibank Private Limited,Medibank,medibank,foi_probably_not finance federal defunct
Medical Training Review Panel,,medical_training_review_panel,oaic_report_2011_2012 health foi_yes federal
Medicare Participation Review Committee,,medicare_participation_review_committee,oaic_report_2011_2012 health foi_yes federal directory_gov_au
Merit Protection Commissioner,,merit_protection_commissioner,prime_minister oaic_report_2011_2012 foi_yes federal
Migration Review Tribunal,MRT,mrt,federal immigration_and_border_protection oaic_report_2011_2012 directory_gov_au foi_yes
Military Rehabilitation and Compensation Commission,,military_rehabilitation_and_compensation_commission,veterans_affairs oaic_report_2011_2012 foi_yes federal
Minister Assisting for Deregulation,,minister_assisting_for_deregulation,federal foi_yes minister directory_gov_au oaic_report_2011_2012 finance
Minister Assisting for Industry and Innovation,,minister_assisting_for_industry_and_innovation,oaic_report_2011_2012 prime_minister directory_gov_au foi_yes federal
Minister Assisting on Queensland Floods Recovery,,minister_assisting_on_queensland_floods_recovery,foi_yes federal minister directory_gov_au oaic_report_2011_2012 attorney_general
Minister Assisting the Prime Minister on Digital Productivity,,minister_assisting_the_prime_minister_on_digital_productivity,prime_minister oaic_report_2011_2012 directory_gov_au minister federal foi_yes defunct
Minister Assisting the Prime Minister on Mental Health Reform,,minister_assisting_the_prime_minister_on_mental_health_reform,directory_gov_au prime_minister oaic_report_2011_2012 minister federal foi_yes defunct
Minister Assisting the Prime Minister on the Centenary of ANZAC,,minister_assisting_the_prime_minister_on_the_centenary_of_anzac,foi_yes federal minister directory_gov_au oaic_report_2011_2012 prime_minister
Minister for Agriculture and Water Resources,,minister_for_agriculture_and_water_resources,minister agriculture oaic_report_2011_2012 directory_gov_au federal foi_yes
Minister for Communications,,minister_for_communications,communications oaic_report_2011_2012 directory_gov_au minister foi_yes federal
Minister for Climate Change and Energy Efficiency,,minister_for_climate_change_and_energy_efficiency,foi_yes federal minister directory_gov_au oaic_report_2011_2012 defunct environment
Minister for Community Services,,minister_for_community_services,foi_yes federal minister directory_gov_au oaic_report_2011_2012 social_services defunct
Minister for Defence,,minister_for_defence,foi_yes federal minister directory_gov_au oaic_report_2011_2012 defence
Minister for Defence Materiel,,minister_for_defence_materiel,foi_yes federal minister directory_gov_au oaic_report_2011_2012 defence
Minister for Defence Personnel,,minister_for_defence_personnel,defence oaic_report_2011_2012 directory_gov_au minister federal foi_yes
Minister for Disability Reform,,minister_for_disability_reform,foi_yes federal minister directory_gov_au oaic_report_2011_2012 social_services defunct
Minister for Early Childhood and Childcare,,minister_for_early_childhood_and_childcare,oaic_report_2011_2012 minister federal foi_yes defunct
Minister for Emergency Management,,minister_for_emergency_management,defunct attorney_general oaic_report_2011_2012 minister foi_yes federal
Minister for Employment,,minister_for_employment,foi_yes federal minister oaic_report_2011_2012 employment
Minister for Families, Community Services and Indigenous Affairs,,minister_for_families_community_services_and_indigenous_affairs,social_services foi_yes federal minister directory_gov_au oaic_report_2011_2012 defunct
Minister for Finance,,minister_for_finance,federal foi_probably_not finance
Minister for Financial Services and Superannuation,,minister_for_financial_services_and_superannuation,directory_gov_au oaic_report_2011_2012 treasury foi_yes federal minister
Minister for Foreign Affairs,,minister_for_foreign_affairs,foi_yes federal minister directory_gov_au oaic_report_2011_2012 foreign_affairs_and_trade
Minister for Health,,minister_for_health,health foi_yes federal minister directory_gov_au oaic_report_2011_2012
Minister for Homelessness,,minister_for_homelessness,foi_yes federal minister oaic_report_2011_2012 social_services defunct
Minister for Housing,,minister_for_housing,foi_yes federal minister oaic_report_2011_2012 social_services defunct
Minister for Human Services,,minister_for_human_services,human_services federal foi_yes minister directory_gov_au oaic_report_2011_2012
Minister for Home Affairs,,minister_for_home_affairs,immigration_and_border_protection immigration_&_citizenship oaic_report_2011_2012 directory_gov_au minister federal foi_yes
Minister for Indigenous Australians,,minister_for_indigenous_australians,prime_minister oaic_report_2011_2012 directory_gov_au minister federal foi_yes
Minister for Indigenous Health,,minister_for_indigenous_health,oaic_report_2011_2012 directory_gov_au minister foi_yes federal defunct
Minister for Industry,,minister_for_industry,foi_yes federal minister directory_gov_au oaic_report_2011_2012 industry_and_science education
Minister for Infrastructure and Regional Development,,minister_for_infrastructure_and_regional_development,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au minister foi_yes federal
Minister for Justice,,minister_for_justice,foi_yes federal minister oaic_report_2011_2012 attorney_general
Minister for Mental Health and Ageing,,minister_for_mental_health_and_ageing,defunct oaic_report_2011_2012 directory_gov_au minister foi_yes federal
Minister for Multicultural Affairs,,minister_for_multicultural_affairs,foi_yes federal minister directory_gov_au oaic_report_2011_2012 immigration_and_border_protection defunct
Minister for Regional Australia, Regional Development and Local Government,,minister_for_regional_australia_regional_development_and_local_government,defunct foi_yes federal minister directory_gov_au oaic_report_2011_2012 infrastructure_and_regional_development
Minister for Resources and Energy,,minister_for_resources_and_energy,foi_yes federal minister directory_gov_au oaic_report_2011_2012 defunct environment
Minister for Education,,minister_for_education,minister education_and_training foi_yes federal directory_gov_au oaic_report_2011_2012
Minister for Small Business,,minister_for_small_business,foi_yes federal minister directory_gov_au oaic_report_2011_2012 industry_and_science
Minister for Social Inclusion,,minister_for_social_inclusion,foi_yes federal minister oaic_report_2011_2012 prime_minister defunct
Minister for Sport,,minister_for_sport,foi_yes federal minister
Minister for the Environment,,minister_for_the_environment,foi_yes federal minister directory_gov_au oaic_report_2011_2012 environment
Minister for Tertiary Education, Skills, Science and Research,,minister_for_tertiary_education_skills_science_and_research,oaic_report_2011_2012 directory_gov_au minister foi_yes federal education_and_training
Minister for the Arts,,minister_for_the_arts,oaic_report_2011_2012 minister federal foi_yes infrastructure_and_regional_development
Minister for the Public Service and Integrity,,minister_for_the_public_service_and_integrity,foi_yes federal minister oaic_report_2011_2012 prime_minister
Minister for the Status of Women,,minister_for_the_status_of_women,foi_yes federal minister oaic_report_2011_2012 social_services defunct
Minister for Tourism,,minister_for_tourism,oaic_report_2011_2012 defunct minister foi_yes federal
Minister for Trade and Investment,,minister_for_trade_and_investment,directory_gov_au foi_yes federal minister oaic_report_2011_2012 foreign_affairs_and_trade
Minister for Veterans’ Affairs,,minister_for_veterans_affairs,veterans_affairs foi_yes federal minister oaic_report_2011_2012 defence
Murray-Darling Basin Authority,,murray_darling_basin_authority,environment oaic_report_2011_2012 directory_gov_au foi_yes federal
Museum of Australian Democracy,MOAD,moad,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
National Archives of Australia,NAA,naa,oaic_report_2011_2012 attorney_general directory_gov_au foi_yes federal
National Blood Authority,NBA,nba,health oaic_report_2011_2012 directory_gov_au foi_yes federal
National Capital Authority,NCA,nca,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
National Competition Council,NCC,ncc,federal treasury oaic_report_2011_2012 directory_gov_au foi_yes
National Environment Protection Council,NEPC,nepc,environment oaic_report_2011_2012 directory_gov_au foi_yes federal
National Environment Protection Council Service Corporation,,national_environment_protection_council_service_corporation,environment oaic_report_2011_2012 foi_yes federal
National Film and Sound Archive,NFSA,nfsa,directory_gov_au attorney_general oaic_report_2011_2012 foi_yes federal
National Gallery of Australia,NGA,nga,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
National Health and Medical Research Council,NHMRC,nhmrc,oaic_report_2011_2012 health directory_gov_au foi_yes federal
National Health Performance Authority,NHPA,nhpa,health oaic_report_2011_2012 foi_yes federal
National Industrial Chemicals Notification and Assessment Scheme,NICNAS,nicnas,health oaic_report_2011_2012 directory_gov_au foi_yes federal
National Library of Australia,NLA,nla,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
National Mental Health Commission,NMHC,nmhc,health foi_yes federal
National Museum of Australia,NMA,nma,oaic_report_2011_2012 directory_gov_au foi_yes federal
National Native Title Tribunal,NNTT,nntt,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
National Offshore Petroleum Safety and Environmental Management Authority,NOPSEMA,nopsema,foi_yes federal directory_gov_au oaic_report_2011_2012
National Rural Advisory Council,NRAC,nrac,federal agriculture oaic_report_2011_2012 directory_gov_au foi_yes
National Transport Commission,NTC,ntc,infrastructure_and_regional_development oaic_report_2011_2012 directory_gov_au foi_yes federal
National Water Commission,NWC,nwc,environment oaic_report_2011_2012 directory_gov_au foi_yes federal
NBN Co Limited,,nbn_co_limited,oaic_report_2011_2012 communications directory_gov_au foi_yes federal
Office of Parliamentary Counsel,OPC,opc,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Office of the Australian Information Commissioner,OAIC,oaic,attorney_general oaic_report_2011_2012 directory_gov_au foi_yes federal
Office of the Commonwealth Director of Public Prosecutions,CDPP,cdpp,federal foi_yes directory_gov_au oaic_report_2011_2012 attorney_general
Office of the Official Secretary to the Governor-General,,office_of_the_official_secretary_to_the_governor_general,prime_minister oaic_report_2011_2012 directory_gov_au federal foi_yes
Office of the Registrar of Indigenous Corporations,,office_of_the_registrar_of_indigenous_corporations,oaic_report_2011_2012 prime_minister social_services foi_yes federal
Offshore Minerals Joint Authority,,offshore_minerals_joint_authority,industry_and_science oaic_report_2011_2012 foi_yes federal
Parliamentary Retiring Allowances Trust,PRAT,prat,oaic_report_2011_2012 finance directory_gov_au foi_yes federal
